,abstract,doi
0,Marker-based XROMM requires software tools for: (1) correcting fluoroscope distortion; (2) calibrating X-ray cameras; (3) tracking radio-opaque markers; and (4) calculating rigid body motion. In this paper we describe and validate XMALab a new open-source software package for marker-based XROMM (C++ source and compiled versions on Bitbucket). Most marker-based XROMM studies to date have used XrayProject in MATLAB. XrayProject can produce results with excellent accuracy and precision but it is somewhat cumbersome to use and requires a MATLAB license. We have designed XMALab to accelerate the XROMM process and to make it more accessible to new users. Features include the four XROMM steps (listed above) in one cohesive user interface real-time plot windows for detecting errors and integration with an online data management system XMAPortal. Accuracy and precision of XMALab when tracking markers in a machined object are ±0.010 and ±0.043 mm respectively. Mean precision for nine users tracking markers in a tutorial dataset of minipig feeding was ±0.062 mm in XMALab and ±0.14 mm in XrayProject. Reproducibility of 3D point locations across nine users was 10-fold greater in XMALab than in XrayProject and six degree-of-freedom bone motions calculated with a joint coordinate system were 3-  to 6-fold more reproducible in XMALab. XMALab is also suitable for tracking white or black markers in standard light videos with optional checkerboard calibration. We expect XMALab to increase both the quality and quantity of animal motion data  available for comparative biomechanics research.,10.1242/jeb.145383
0,BACKGROUND: In the neurodevelopmental disorder autism several neuroimmune abnormalities have been reported. However it is unknown whether microglial somal volume or density are altered in the cortex and whether any alteration is associated with age or other potential covariates. METHODS: Microglia in sections from the dorsolateral prefrontal cortex of nonmacrencephalic male cases with autism (n = 13) and control cases (n = 9) were  visualized via ionized calcium binding adapter molecule 1 immunohistochemistry. In addition to a neuropathological assessment microglial cell density was stereologically estimated via optical fractionator and average somal volume was quantified via isotropic nucleator. RESULTS: Microglia appeared markedly activated in 5 of 13 cases with autism including 2 of 3 under age 6 and marginally activated in an additional 4 of 13 cases. Morphological alterations included somal enlargement process retraction and thickening and extension of filopodia from processes. Average microglial somal volume was significantly increased in white matter (p = .013) with a trend in gray matter (p = .098). Microglial cell density was increased in gray matter (p = .002). Seizure history did not influence any activation measure. CONCLUSIONS: The activation profile described represents a neuropathological alteration in a sizeable fraction of cases with autism. Given its early presence microglial activation may play a central role in the pathogenesis of autism in a  substantial proportion of patients. Alternatively activation may represent a response of the innate neuroimmune system to synaptic neuronal or neuronal network disturbances or reflect genetic and/or environmental abnormalities impacting multiple cellular populations.,10.1016/j.biopsych.2010.05.024
0,BACKGROUND: Besides the central role of the adaptive immune system a disturbance of innate immune system is also suggested to be involved in the pathogenesis of multiple sclerosis (MS). CD14 a receptor upregulated in activated microglia is  known to be an essential mediator of inflammation in innate immune responses. Therefore in this study we aimed to assess possible roles of CD14-159 and -260 gene polymorphisms in MS susceptibility and the effects of those polymorphisms to its protein producing capacity in Iranian population. METHODS: In this case control study CD14-159 and -260 polymorphisms were genotyped using polymerase chain reaction restriction fragment length polymorphism (PCR-RFLP) in 200 MS patients and 200 healthy controls matched in age and gender. Serum levels of soluble CD14 (sCD14) was determined by enzyme-linked immunosorbent assay (ELISA). RESULTS: There were significant differences in genotype distribution of CD14-159  and -260 polymorphisms between patients and controls (P = 0.01 for-both). Mean serum level of sCD14 was significantly higher in MS patients than in control subjects (3340.30 ± 612.50 ng/ml vs 2353.73 ± 539.07 ng/ml; P < 0.01). CONCLUSION: In summary we conclude that CD14-159 and -260 polymorphisms are associated with the risk of MS in Iranian population and affects CD14 promoter activity thereby regulating CD14 expression. Furthermore our study provides preliminary evidence for the activation of innate immunity in the pathogenesis of MS. In addition the findings of the present study suggest serum level of sCD14 as candidate biomarker of MS severity.,10.1080/08820139.2016.1226897
0,"The retina reports the visual scene to the brain through many parallel channels  each carried by a distinct population of retinal ganglion cells. Among these the population with the smallest and densest receptive fields encodes the neural image with highest resolution. In human retina and those of cat and macaque these high-resolution ganglion cells act as generic pixel encoders: They serve to represent many different visual inputs and convey a neural image of the scene downstream for further processing. Here we identify and analyze high-resolution ganglion cells in the mouse retina using a transgenic line in which these cells called ""W3"" are labeled fluorescently. Counter to the expectation these ganglion cells do not participate in encoding generic visual scenes but remain silent during most common visual stimuli. A detailed study of their response properties showed that W3 cells pool rectified excitation from both On and Off bipolar cells which makes them sensitive to local motion. However they also receive unusually strong lateral inhibition both pre- and postsynaptically triggered by distant motion. As a result the W3 cell can detect small moving objects down to the receptive field size of bipolar cells but only if the background is featureless or stationary--an unusual condition. A survey of naturalistic stimuli shows that W3 cells may serve as alarm neurons for overhead  predators.",10.1073/pnas.1211547109
0,As the tissue macrophages of the CNS microglia are critically involved in diseases of the CNS. However it remains unknown what controls their maturation and activation under homeostatic conditions. We observed substantial contributions of the host microbiota to microglia homeostasis as germ-free (GF)  mice displayed global defects in microglia with altered cell proportions and an immature phenotype leading to impaired innate immune responses. Temporal eradication of host microbiota severely changed microglia properties. Limited microbiota complexity also resulted in defective microglia. In contrast recolonization with a complex microbiota partially restored microglia features. We determined that short-chain fatty acids (SCFA) microbiota-derived bacterial fermentation products regulated microglia homeostasis. Accordingly mice deficient for the SCFA receptor FFAR2 mirrored microglia defects found under GF conditions. These findings suggest that host bacteria vitally regulate microglia  maturation and function whereas microglia impairment can be rectified to some extent by complex microbiota.,10.1038/nn.4030
0,The mammalian AII retinal amacrine cell is a narrow-field multistratified glycinergic neuron best known for its role in collecting scotopic signals from rod bipolar cells and distributing them to ON and OFF cone pathways in a crossover network via a combination of inhibitory synapses and heterocellular AII::ON cone bipolar cell gap junctions. Long considered a simple cell a full connectomics analysis shows that AII cells possess the most complex interaction repertoire of any known vertebrate neuron contacting at least 28 different cell  classes including every class of retinal bipolar cell. Beyond its basic role in  distributing rod signals to cone pathways the AII cell may also mediate narrow-field feedback and feedforward inhibition for the photopic OFF channel photopic ON-OFF inhibitory crossover signaling and serves as a nexus for a collection of inhibitory networks arising from cone pathways that likely negotiate fast switching between cone and rod vision. Further analysis of the complete synaptic counts for five AII cells shows that (1) synaptic sampling is normalized for anatomic target encounter rates; (2) qualitative targeting is specific and apparently errorless; and (3) that AII cells strongly differentiate  partner cohorts by synaptic and/or coupling weights. The AII network is a dense hub connecting all primary retinal excitatory channels via precisely weighted drive and specific polarities. Homologs of AII amacrine cells have yet to be identified in non-mammalians but we propose that such homologs should be narrow-field glycinergic amacrine cells driving photopic ON-OFF crossover via heterocellular coupling with ON cone bipolar cells and glycinergic synapses on OFF cone bipolar cells. The specific evolutionary event creating the mammalian AII scotopic-photopic hub would then simply be the emergence of large numbers of  pure rod bipolar cells.,10.3389/fncir.2014.00104
0,,10.1093/jnen/59.7.561
0,"Synaptic plasticity is critical for elaboration and adaptation in the developing  and developed brain. It is well established that astrocytes play an important role in the maintenance of what has been dubbed ""the tripartite synapse"". Increasing evidence shows that a fourth cell type microglia is critical to this maintenance as well. Microglia are the resident macrophages of the central nervous system (CNS). Because of their well-characterized inflammatory functions research has primarily focused on their innate immune properties. The role of microglia in the maintenance of synapses in development and in homeostasis is not as well defined. A number of significant findings have shed light on the critical role of microglia at the synapse. It is becoming increasingly clear that microglia play a seminal role in proper synaptic development and elimination.",10.1155/2013/627325
0,Glutamatergic cytotoxicity mediated by overactivation of N-methyl-d-aspartate receptors (NMDARs) is implicated in numerous neurological disorders. To be therapeutically viable NMDAR antagonists must preserve physiological role of synaptic NMDARs (sNMDARs) in synaptic transmission and block only excessive pathological activation of NMDARs. Here we present a novel NMDAR antagonist that  satisfies this two-fold requirement by exploiting spatial differences in NMDAR subcellular locations. Specifically we designed a hybrid nanodrug (AuM) to be larger than the synaptic cleft by attaching memantine NMDAR antagonist via polymer linkers to a gold nanoparticle. We show that AuM efficiently and selectively inhibited extrasynaptic NMDARs (eNMDARs) while having no effect on sNMDARs and synaptic transmission. AuM exhibited neuroprotective properties both  in vitro and ex vivo during such neurotoxic insults as NMDAR-mediated cytotoxicity in cerebrocortical cell culture and oxygen-glucose deprivation in acute hippocampal slices. Furthermore AuM prevented dendritic spine loss triggered by Aβ oligomers in organotypic hippocampal slices and was more effective than free memantine. Using a novel rational design strategy we demonstrate a proof of concept for a new class of neuroprotective drugs that might be beneficial for treatment of several neurological disorders.,10.1021/acs.nanolett.6b01988
0,Previous research demonstrated that while selectively attending to relevant aspects of the external world the brain extracts pertinent information by aligning its neuronal oscillations to key time points of stimuli or their sampling by sensory organs. This alignment mechanism is termed oscillatory entrainment. We investigated the global long-timescale dynamics of this mechanism in the primary auditory cortex of nonhuman primates and hypothesized that lapses of entrainment would correspond to lapses of attention. By examining  electrophysiological and behavioral measures we observed that besides the lack of entrainment by external stimuli attentional lapses were also characterized by high-amplitude alpha oscillations with alpha frequency structuring of neuronal ensemble and single-unit operations. Entrainment and alpha-oscillation-dominated  periods were strongly anticorrelated and fluctuated rhythmically at an ultra-slow rate. Our results indicate that these two distinct brain states represent externally versus internally oriented computational resources engaged by large-scale task-positive and task-negative functional networks.,10.1038/nn.4386
0,In the article by Mozaffarian et al “Heart Disease and Stroke Statistics—2015 Update: A Report From the American Heart Association” which published online December 17 2014 and appeared in the January 27 2015 issue of the journal (Circulation. 2015;131:e29–e322. DOI:10.1161/ CIR.0000000000000152) several corrections were needed. These corrections have been made to the current online version of the article which is available at http://circ.ahajournals.org/content/131/4/e29.full.,10.1161/01.res.75.3.528
0,Here we identified release of extracellular vesicles (EVs) by the choroid plexus epithelium (CPE) as a new mechanism of blood-brain communication. Systemic inflammation induced an increase in EVs and associated pro-inflammatory miRNAs including miR-146a and miR-155 in the CSF Interestingly this was associated with an increase in amount of multivesicular bodies (MVBs) and exosomes per MVB in the CPE cells. Additionally we could mimic this using LPS-stimulated primary  CPE cells and choroid plexus explants. These choroid plexus-derived EVs can enter the brain parenchyma and are taken up by astrocytes and microglia inducing miRNA target repression and inflammatory gene up-regulation. Interestingly this could  be blocked in vivo by intracerebroventricular (icv) injection of an inhibitor of  exosome production. Our data show that CPE cells sense and transmit information about the peripheral inflammatory status to the central nervous system (CNS) via  the release of EVs into the CSF which transfer this pro-inflammatory message to  recipient brain cells. Additionally we revealed that blockage of EV secretion decreases brain inflammation which opens up new avenues to treat systemic inflammatory diseases such as sepsis.,10.15252/emmm.201606271
0,Recently microglia the resident immune cells of the brain have been recognized  as multi-tasking talents that are not only essential in the diseased brain but also actively contribute to synaptic circuit remodeling during normal brain development. It is well established that microglia dynamically scan their environment and thereby establish transient physical contacts with neuronal synapses which may allow them to sense and influence synaptic function. However it is unknown whether and how the morphological dynamics of microglia and their physical interactions with synapses are affected by the induction of synaptic plasticity in the adult brain. To this end we characterized the morphological dynamics of microglia and their interactions with synapses before and after the induction of synaptic plasticity (LTP) in the hippocampus by time-lapse two-photon imaging and electrophysiological recordings in acute brain slices. We  demonstrate that during hippocampal LTP microglia alter their morphological dynamics by increasing the number of their processes and by prolonging their physical contacts with dendritic spines. These effects were absent in the presence of an NMDA receptor antagonist. Taken together this altered behavior could reflect an active microglial involvement in circuit remodeling during activity-dependent synaptic plasticity in the healthy adult brain.,10.1038/srep32422
0,Glial cells previously thought to have generally supporting roles in the central nervous system are emerging as essential contributors to multiple aspects of neuronal circuit function and development. This review focuses on the contributions of glial cells to the development of auditory pathways in the brainstem. These pathways display specialized synapses and an unusually high degree of precision in circuitry that enables sound source localization. The development of these pathways thus requires highly coordinated molecular and cellular mechanisms. Several classes of glial cells including astrocytes oligodendrocytes and microglia have now been explored in these circuits in both  avian and mammalian brainstems. Distinct populations of astrocytes are found over the course of auditory brainstem maturation. Early appearing astrocytes are associated with spatial compartments in the avian auditory brainstem. Factors from late appearing astrocytes promote synaptogenesis and dendritic maturation and astrocytes remain integral parts of specialized auditory synapses. Oligodendrocytes play a unique role in both birds and mammals in highly regulated myelination essential for proper timing to decipher interaural cues. Microglia arise early in brainstem development and may contribute to maturation of auditory pathways. Together these studies demonstrate the importance of non-neuronal cells in the assembly of specialized auditory brainstem circuits.,10.3389/fncir.2016.00083
0,The emerging field of bioelectronic medicine seeks methods for deciphering and modulating electrophysiological activity in the body to attain therapeutic effects at target organs. Current approaches to interfacing with peripheral nerves and muscles rely heavily on wires creating problems for chronic use while emerging wireless approaches lack the size scalability necessary to interrogate small-diameter nerves. Furthermore conventional electrode-based technologies lack the capability to record from nerves with high spatial resolution or to record independently from many discrete sites within a nerve bundle. Here we demonstrate neural dust a wireless and scalable ultrasonic backscatter system for powering and communicating with implanted bioelectronics.  We show that ultrasound is effective at delivering power to mm-scale devices in tissue; likewise passive battery-less communication using backscatter enables high-fidelity transmission of electromyogram (EMG) and electroneurogram (ENG) signals from anesthetized rats. These results highlight the potential for an ultrasound-based neural interface system for advancing future bioelectronics-based therapies.,10.1016/j.neuron.2016.06.034
0,A phantom was constructed to simulate the electrical properties of the neck. A range of possible electrode configurations was then examined in order to improve  the sensitivity of the impedance measurement method for the in vivo detection of  air emboli. The neck phantom consisted of simulated skin fat and muscle layers made of agar and a conductive rubber tube mimicking the common carotid artery. The ring-shaped electrodes with a guard electrode showed the highest sensitivity  to emboli at short distances.,10.1088/0967-3334/26/2/011
0,,10.1049/el:20083426
0,,10.1523/jneurosci.3081-14.2015
0,Microglia actively survey the brain microenvironment and play essential roles in  sculpting synaptic connections during brain development. While microglial functions in the adult brain are less clear activated microglia can closely appose neuronal cell bodies and displace axosomatic presynaptic terminals. Microglia-mediated stripping of presynaptic terminals is considered neuroprotective but the cellular and molecular mechanisms are poorly defined. Using 3D electron microscopy we demonstrate that activated microglia displace inhibitory presynaptic terminals from cortical neurons in adult mice. Electrophysiological recordings further establish that the reduction in inhibitory GABAergic synapses increased synchronized firing of cortical neurons in γ-frequency band. Increased neuronal activity results in the calcium-mediated  activation of CaM kinase IV phosphorylation of CREB increased expression of antiapoptotic and neurotrophic molecules and reduced apoptosis of cortical neurons following injury. These results indicate that activated microglia can protect the adult brain by migrating to inhibitory synapses and displacing them from cortical neurons.,10.1038/ncomms5486
0,,10.1126/science.aaf1288
0,Erratum for     Int Urogynecol J. 2016 Jan;27(1):155-7.,10.1007/978-1-4757-9800-5_69
0,,10.1523/jneurosci.0518-16.2016
0,,10.1523/jneurosci.1041-16.2016
0,Cortical gamma oscillations (20-80 Hz) predict increases in focused attention and failure in gamma regulation is a hallmark of neurological and psychiatric disease. Current theory predicts that gamma oscillations are generated by synchronous activity of fast-spiking inhibitory interneurons with the resulting  rhythmic inhibition producing neural ensemble synchrony by generating a narrow window for effective excitation. We causally tested these hypotheses in barrel cortex in vivo by targeting optogenetic manipulation selectively to fast-spiking  interneurons. Here we show that light-driven activation of fast-spiking interneurons at varied frequencies (8-200 Hz) selectively amplifies gamma oscillations. In contrast pyramidal neuron activation amplifies only lower frequency oscillations a cell-type-specific double dissociation. We found that the timing of a sensory input relative to a gamma cycle determined the amplitude  and precision of evoked responses. Our data directly support the fast-spiking-gamma hypothesis and provide the first causal evidence that distinct network activity states can be induced in vivo by cell-type-specific activation.,10.1038/nature08002
0,While signatures of attention have been extensively studied in sensory systems the neural sources and computations responsible for top-down control of attention are largely unknown. Using chronic recordings in mice we found that fast-spiking parvalbumin (FS-PV) interneurons in medial prefrontal cortex (mPFC) uniformly show increased and sustained firing during goal-driven attentional processing correlating to the level of attention. Elevated activity of FS-PV neurons on the  timescale of seconds predicted successful execution of behavior. Successful allocation of attention was characterized by strong synchronization of FS-PV neurons increased gamma oscillations and phase locking of pyramidal firing. Phase-locked pyramidal neurons showed gamma-phase-dependent rate modulation during successful attentional processing. Optogenetic silencing of FS-PV neurons  deteriorated attentional processing while optogenetic synchronization of FS-PV neurons at gamma frequencies had pro-cognitive effects and improved goal-directed behavior. FS-PV neurons thus act as a functional unit coordinating the activity in the local mPFC circuit during goal-driven attentional processing.,10.1016/j.cell.2015.11.038
0,Our capacity to process and respond behaviourally to multiple incoming stimuli is very limited. To optimize the use of this limited capacity attentional mechanisms give priority to behaviourally relevant stimuli at the expense of irrelevant distractors. In visual areas attended stimuli induce enhanced responses and an improved synchronization of rhythmic neuronal activity in the gamma frequency band (40-70 Hz). Both effects probably improve the neuronal signalling of attended stimuli within and among brain areas. Attention also results in improved behavioural performance and shortened reaction times. However it is not known how reaction times are related to either response strength or gamma-band synchronization in visual areas. Here we show that behavioural response times to a stimulus change can be predicted specifically by  the degree of gamma-band synchronization among those neurons in monkey visual area V4 that are activated by the behaviourally relevant stimulus. When there are two visual stimuli and monkeys have to detect a change in one stimulus while ignoring the other their reactions are fastest when the relevant stimulus induces strong gamma-band synchronization before and after the change in stimulus. This enhanced gamma-band synchronization is also followed by shorter neuronal response latencies on the fast trials. Conversely the monkeys' reactions are slowest when gamma-band synchronization is high in response to the  irrelevant distractor. Thus enhanced neuronal gamma-band synchronization and shortened neuronal response latencies to an attended stimulus seem to have direct effects on visually triggered behaviour reflecting an early neuronal correlate of efficient visuo-motor integration.,10.1038/nature04258
0,Studies of neural oscillations in the beta band (13-30 Hz) have demonstrated modulations in beta-band power associated with sensory and motor events on time scales of 1 s or more and have shown that these are exaggerated in Parkinson's disease. However even early reports of beta activity noted extremely fleeting episodes of beta-band oscillation lasting <150 ms. Because the interpretation of  possible functions for beta-band oscillations depends strongly on the time scale  over which they occur and because of these oscillations' potential importance in Parkinson's disease and related disorders we analyzed in detail the distributions of duration and power for beta-band activity in a large dataset recorded in the striatum and motor-premotor cortex of macaque monkeys performing  reaching tasks. Both regions exhibited typical beta-band suppression during movement and postmovement rebounds of up to 3 s as viewed in data averaged across trials but single-trial analysis showed that most beta oscillations occurred in  brief bursts commonly 90-115 ms long. In the motor cortex the burst probabilities peaked following the last movement but in the striatum the burst  probabilities peaked at task end after reward and continued through the postperformance period. Thus what appear to be extended periods of postperformance beta-band synchronization reflect primarily the modulated densities of short bursts of synchrony occurring in region-specific and task-time-specific patterns. We suggest that these short-time-scale events likely underlie the functions of most beta-band activity so that prolongation of these  beta episodes as observed in Parkinson's disease could produce deleterious network-level signaling.,10.1073/pnas.1517629112
0,In this issue of Neuron a study by Michalareas et al. (2016) uses magnetoencephalography (MEG) to characterize the hierarchical organization of human visual areas based on their causal connectivity profiles.,10.1016/j.neuron.2016.01.001
0,,10.1523/jneurosci.2969-10.2010
0,In this study we used a novel multisensory attention paradigm to investigate attention-modulated cortical oscillations over a wide range of frequencies using  magnetencephalography in healthy human participants. By employing a task that required the evaluation of the congruence of audio-visual stimuli we promoted the formation of widespread cortical networks including early sensory cortices as well as regions associated with cognitive control. We found that attention led to increased high-frequency gamma-band activity and decreased lower frequency theta- alpha- and beta-band activity in early sensory cortex areas. Moreover alpha-band coherence decreased in visual cortex. Frontal cortex was found to exert attentional control through increased low-frequency phase synchronisation.  Crossmodal congruence modulated beta-band coherence in mid-cingulate and superior temporal cortex. Together these results offer an integrative view on the concurrence of oscillations at different frequencies during multisensory attention.,10.1038/srep32775
